Header Name,Extracted Data
ROOM STANDARD 1BED,Hotel Westland
ROOM STANDARD 1BED,Inn at the MarketPrimary compset
ROOM STANDARD 1BED,Hotel 1000LXR Hotels & ResortsPrimary compset
ROOM STANDARD 1BED,Thompson Seattleby HyattPrimary compset
ROOM STANDARD 1BED,Lotte Hotel SeattlePrimary compset
ROOM STANDARD 1BED,Denny Park HotelPrimary compset
ROOM STANDARD 1BED,The State HotelPrimary compset
ROOM STANDARD 1BED,The Edgewatera Noble House HotelPrimary compsetSecondary compset
ROOM STANDARD 1BED,Silver Cloud HotelSeattle StadiumPrimary compsetSecondary compset
ROOM STANDARD 1BED,Embassy SuitesBy Hilton SeattleDowntown Pioneer SquarePrimary compsetSecondary compset
ROOM STANDARD 1BED,Kimpton Palladian Hotelan IHG HotelPrimary compsetSecondary compset
ROOM STANDARD 1BED,Four Seasons Hotel SeattlePrimary compsetSecondary compset
ROOM STANDARD 2BEDS,
ROOM STANDARD 2BEDS,"City accessible roomCity sideAvg. price$
                                462"
ROOM STANDARD 2BEDS,"1 king 1 queen deluxe1 king bed deluxe room1 king bed room with peloton bike1 king dlx mobil/hear acc rollinshwAvg. price$
                                339"
ROOM STANDARD 2BEDS,"1 king bed1 king city viewK city view ada shwAvg. price$
                                306"
ROOM STANDARD 2BEDS,"Accessible deluxe kingDeluxe king city viewSuperior kingAvg. price$
                                383"
ROOM STANDARD 2BEDS,"Deluxe queen city viewStudio suite kingAvg. price$
                                314"
ROOM STANDARD 2BEDS,"City view kingKingQueenAvg. price$
                                253"
ROOM STANDARD 2BEDS,"City view kingCity view king - accessible tubCity view queenCityside deluxe king - mobility accessibleCityside deluxe king - roll-in showerCityside queen - roll-in showerAvg. price$
                                402"
ROOM STANDARD 2BEDS,"King roomAvg. price$
                                259"
